A001,2024-07-01,user1,Amazon,Search,SEO,Analyst,50,92,1,remarks
A002,2024-07-01,user2,Amazon,Search,SEO,Analyst,50,88,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A003,2024-07-02,user3,Amazon,Search,SEO,Analyst,50,91,0,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A004,2024-07-02,user4,Amazon,Search,SEO,Analyst,50,85,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A005,2024-07-03,user5,Amazon,Search,SEO,Analyst,50,90,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A006,2024-07-03,user6,Amazon,Search,SEO,Analyst,50,93,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A007,2024-07-04,user7,Flipkart,Ads,PPC,Executive,40,87,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A008,2024-07-04,user8,Flipkart,Ads,PPC,Executive,40,89,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A009,2024-07-05,user9,Flipkart,Ads,PPC,Executive,40,91,0,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A010,2024-07-05,user10,Flipkart,Ads,PPC,Executive,40,86,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A011,2024-07-06,user11,Flipkart,Ads,PPC,Executive,40,90,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A012,2024-07-06,user12,Flipkart,Ads,PPC,Executive,40,92,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A013,2024-07-07,user13,Meesho,Content,QA,Reviewer,30,88,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A014,2024-07-07,user14,Meesho,Content,QA,Reviewer,30,91,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A015,2024-07-08,user15,Meesho,Content,QA,Reviewer,30,89,0,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A016,2024-07-08,user16,Meesho,Content,QA,Reviewer,30,90,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
A017,2024-07-09,user17,Meesho,Content,QA,Reviewer,30,87,1,"Schema error: Missing required column(s): unique_account_id, record_date, username, client_name, project_name, sub_project_name, designation, daily_target, quality_percent, audit_status"
